,heater power (mW),resistence (Ohm),current (mA)
0,0.0,0.0,0.0
1,0.00036842105263157896,80.148672,5.4340093950289745
2,0.0007368421052631579,79.93009599999999,7.67436383099774
3,0.0011052631578947368,79.325981,9.3635508362564
4,0.0014736842105263158,79.33523100000001,10.812727558907508
5,0.001842105263157895,79.36669300000001,12.091393753192262
6,0.0022105263157894735,79.767727,13.278880211983635
7,0.0025789473684210526,80.30453800000001,14.391010282373106
8,0.0029473684210526317,80.86532400000002,15.438260987423083
9,0.0033157894736842108,81.55211,16.4441365810047
10,0.00368421052631579,82.22609999999999,17.4051217507346
11,0.0040526315789473685,86.408921,18.713191121435393
12,0.004421052631578947,87.089589,19.62212161392287
13,0.004789473684210527,87.102693,20.424888150180124
14,0.005157894736842105,87.13515100000001,21.199856998028128
15,0.005526315789473685,87.76298799999999,22.022851457424615
16,0.005894736842105263,87.763592,22.745181449218972
17,0.006263157894736842,87.52481000000002,23.41328052061142
18,0.0066315789473684215,88.198969,24.184673369719096
19,0.007,87.95883599999999,24.81354170609266
