,heater power (mW),resistence (Ohm),current (mA)
0,0.0,0.0,0.0
1,0.00036842105263157896,79.41197199999999,5.408977936337831
2,0.0007368421052631579,79.102652,7.634537617405455
3,0.0011052631578947368,78.38584699999998,9.307899268335131
4,0.0014736842105263158,77.725898,10.702496373817604
5,0.001842105263157895,77.88443199999999,11.977951498702236
6,0.0022105263157894735,78.27898499999999,13.154381639430623
7,0.0025789473684210526,79.72680199999999,14.339150121625979
8,0.0029473684210526317,80.99683100000001,15.450809101621083
9,0.0033157894736842108,81.342318,16.42297177095162
10,0.00368421052631579,82.415911,17.42519919088747
11,0.0040526315789473685,84.35821899999999,18.489802115305558
12,0.004421052631578947,85.00522500000001,19.385885940142398
13,0.004789473684210527,84.96741800000001,20.1729822417588
14,0.005157894736842105,89.598926,21.49748424449022
15,0.005526315789473685,88.850995,22.158940781972124
16,0.005894736842105263,88.547247,22.846503433958876
17,0.006263157894736842,88.22502499999999,23.5067492827508
18,0.0066315789473684215,88.132989,24.17562562625945
19,0.007,87.685967,24.775023087779353
