,heater power (mW),resistence (Ohm),current (mA)
0,0.0,0.0,0.0
1,0.0016428571428571427,62.081466,10.099058364874562
2,0.0032857142857142855,62.53734999999999,14.33456885594102
3,0.004928571428571428,63.019138999999996,17.62368655896295
4,0.006571428571428571,63.520736,20.430907454848192
5,0.008214285714285714,64.032883,22.934349698027816
6,0.009857142857142856,64.56332499999999,25.22716626688663
7,0.0115,65.113205,27.364244142676405
8,0.013142857142857142,65.68447599999999,29.38165557914374
9,0.014785714285714284,66.27301299999999,31.30325598194904
10,0.016428571428571428,66.88477400000001,33.14847337575076
11,0.01807142857142857,67.49349899999999,34.924260138395
12,0.019714285714285712,68.149752,36.65410866854785
13,0.021357142857142856,68.979885,38.38246029391922
14,0.023,69.77768499999999,40.06103786723454
