,heater power (mW),resistence (Ohm),current (mA)
0,0.0,0.0,0.0
1,0.0016428571428571427,62.166771000000004,10.105994448133954
2,0.0032857142857142855,62.642341,14.34659662478477
3,0.004928571428571428,63.136365999999995,17.64007056594243
4,0.006571428571428571,63.652764000000005,20.452129277901605
5,0.008214285714285714,64.18126699999999,22.960907313145466
6,0.009857142857142856,64.72707299999999,25.259137065341605
7,0.0115,65.297606,27.40296460239293
8,0.013142857142857142,65.890629,29.427727129358804
9,0.014785714285714284,66.502258,31.357349794631194
10,0.016428571428571428,67.14938699999999,33.21398050090181
11,0.01807142857142857,67.81478200000001,35.00728479902433
12,0.019714285714285712,68.59567999999999,36.773833554386385
13,0.021357142857142856,69.42362399999999,38.50571717847327
14,0.023,70.18265699999999,40.177121736132364
